Chrom	Strand	Experiment_Left	Experiment_Right	Systematic ID	Common Name	NFR/NDR_Left	NFR/NDR_Right
chr4	-	130203	130548	YDL184C	RPL41A	130475	130930
chr4	-	221516	221901	YDL133C-A	RPL41B	221782	222017
chr15	-	648636	649069	YOR167C	RPS28A	648975	649313
chr4	-	309716	310213	YDL081C	RPP1A	310213	310619
chr15	-	253086	253639	YOL040C	RPS15	253568	254318
chr4	+	1239404	1239981	YDR382W	RPP2B	1238654	1239404
chr15	-	1028088	1028705	YOR369C	RPS12	1028640	1029073
chr7	-	365435	366060	YGL076C	RPL7A	365972	366405
chr4	+	1301564	1302229	YDR418W	RPL12B	1301255	1301670
chr8	-	34566	35255	YHL033C	RPL8A	35963	36422
chr8	+	75372	76069	YHL015W	RPS20	74997	75429
chr12	+	498862	499559	YLR167W	RPS31	498112	498862
chr13	-	509709	510406	YMR121C	RPL15B	510328	510637
chr6	-	223160	223865	YFR032C-A	RPL29	223738	224257
chr10	+	75897	76610	YJL189W	RPL39	75147	75897
chr10	-	74669	75382	YJL190C	RPS22A	75262	75711
chr12	-	780706	781419	YLR325C	RPL38	781419	781816
chr7	+	438997	439718	YGL030W	RPL30	438320	439070
chr16	-	731168	731889	YPR102C	RPL11A	731889	732329
chr7	-	648242	648979	YGR085C	RPL11B	648904	649311
chr7	-	227633	228378	YGL147C	RPL9A	228294	228799
chr15	+	254098	254867	YOL039W	RPP2A	253348	254098
chr4	-	1450104	1450889	YDR500C	RPL37B	1450889	1451248
chr16	+	135753	136546	YPL220W	RPL1A	135456	135816
chr10	+	608195	608996	YJR094W-A	RPL43B	607907	608317
chr12	+	522590	523399	YLR185W	RPL37A	522407	522711
chr5	-	52484	53293	YEL054C	RPL12A	53160	54071
chr4	+	229808	230625	YDL130W	RPP1B	229058	229808
chr6	-	64173	64990	YFL034C-A	RPL22B	64937	65333
chr11	+	158565	159383	YKL156W	RPS27A	158265	158636
chr12	-	201819	202644	YLR029C	RPL15A	202644	202986
chr4	-	1354776	1355609	YDR447C	RPS17B	1355511	1356057
chr16	-	75540	76373	YPL249C-A	RPL36B	76373	76515
chr7	-	148160	149001	YGL189C	RPS26A	148943	149693
